date,name,ath_country,value
1979-12-07,Peter Wirnsberger,AT,25
1979-12-07,Dave Murray,CA,7
1979-12-07,Leonhard Stock,AT,0
1979-12-07,Philip Pugnat,FR,0
1979-12-07,Pete Patterson,US,0
1979-12-07,Anton Steiner,AT,0
1979-12-07,Andreas Wenzel,LI,0
1979-12-07,Helmut Hoeflehner,AT,0
1979-12-07,Josef Walcher,AT,10
1979-12-07,Ernst Winkler,AT,0
1979-12-07,Arnt Erik Dale,NO,0
1979-12-07,Rune Saefvenberg,SE,0
1979-12-07,Karl Anderson,US,0
1979-12-07,Tim Gilhooly,CA,0
1979-12-07,Ken Read,CA,0
1979-12-07,Sepp Ferstl,DE,9
1979-12-07,Franz Klammer,AT,0
1979-12-07,Peter Mueller,CH,0
1979-12-07,Urs Raeber,CH,1
1979-12-07,Dave Irwin,CA,2
1979-12-07,Toni Buergler,CH,8
1979-12-07,Michael Veith,DE,4
1979-12-07,Uli Spiess,AT,4
1979-12-07,Walter Vesti,CH,5
1979-12-07,Erwin Josi,CH,0
1979-12-07,Steve Podborski,CA,0
1979-12-07,Harti Weirather,AT,11
1979-12-07,Andy Mill,US,0
1979-12-07,Herbert Plank,IT,20
1979-12-07,Mikio Katagiri,JP,0
1979-12-07,Erik Haaker,NO,15
1979-12-07,Valeri Tsiganov,RU,6
1979-12-07,Danilo Sbardellotto,IT,0
1979-12-07,Werner Grissmann,AT,12
1979-12-16,Rune Saefvenberg,SE,6
1979-12-16,Arnt Erik Dale,NO,3
1979-12-16,Dave Murray,CA,12
1979-12-16,Urs Raeber,CH,6
1979-12-16,Danilo Sbardellotto,IT,0
1979-12-16,Andy Mill,US,0
1979-12-16,Mikio Katagiri,JP,0
1979-12-16,Steve Podborski,CA,0
1979-12-16,Walter Vesti,CH,7
1979-12-16,Erwin Josi,CH,0
1979-12-16,Harti Weirather,AT,12
1979-12-16,Toni Buergler,CH,8
1979-12-16,Leonhard Stock,AT,0
1979-12-16,Herbert Plank,IT,20
1979-12-16,Pete Patterson,US,0
1979-12-16,Anton Steiner,AT,0
1979-12-16,Andreas Wenzel,LI,0
1979-12-16,Helmut Hoeflehner,AT,0
1979-12-16,Ernst Winkler,AT,0
1979-12-16,Dave Irwin,CA,2
1979-12-16,Michael Veith,DE,4
1979-12-16,Valeri Tsiganov,RU,6
1979-12-16,Sepp Ferstl,DE,9
1979-12-16,Philip Pugnat,FR,0
1979-12-16,Peter Wirnsberger,AT,25
1979-12-16,Werner Grissmann,AT,27
1979-12-16,Erik Haaker,NO,35
1979-12-16,Uli Spiess,AT,16
1979-12-16,Karl Anderson,US,7
1979-12-16,Peter Mueller,CH,25
1979-12-16,Tim Gilhooly,CA,8
1979-12-16,Josef Walcher,AT,20
1979-12-16,Ken Read,CA,9
1979-12-16,Franz Klammer,AT,11
1980-01-06,Arnt Erik Dale,NO,3
1980-01-06,Andreas Wenzel,LI,0
1980-01-06,Anton Steiner,AT,0
1980-01-06,Ernst Winkler,AT,7
1980-01-06,Philip Pugnat,FR,0
1980-01-06,Leonhard Stock,AT,0
1980-01-06,Erwin Josi,CH,0
1980-01-06,Dave Murray,CA,13
1980-01-06,Josef Walcher,AT,29
1980-01-06,Rune Saefvenberg,SE,6
1980-01-06,Pete Patterson,US,0
1980-01-06,Steve Podborski,CA,0
1980-01-06,Tim Gilhooly,CA,8
1980-01-06,Urs Raeber,CH,6
1980-01-06,Dave Irwin,CA,2
1980-01-06,Werner Grissmann,AT,38
1980-01-06,Uli Spiess,AT,16
1980-01-06,Toni Buergler,CH,8
1980-01-06,Sepp Ferstl,DE,9
1980-01-06,Peter Mueller,CH,50
1980-01-06,Harti Weirather,AT,24
1980-01-06,Herbert Plank,IT,40
1980-01-06,Walter Vesti,CH,17
1980-01-06,Karl Anderson,US,7
1980-01-06,Andy Mill,US,0
1980-01-06,Danilo Sbardellotto,IT,0
1980-01-06,Helmut Hoeflehner,AT,3
1980-01-06,Michael Veith,DE,10
1980-01-06,Peter Wirnsberger,AT,30
1980-01-06,Mikio Katagiri,JP,0
1980-01-06,Valeri Tsiganov,RU,14
1980-01-06,Franz Klammer,AT,15
1980-01-06,Erik Haaker,NO,50
1980-01-06,Ken Read,CA,11
1980-01-12,Urs Raeber,CH,6
1980-01-12,Harti Weirather,AT,44
1980-01-12,Uli Spiess,AT,19
1980-01-12,Peter Wirnsberger,AT,33
1980-01-12,Werner Grissmann,AT,38
1980-01-12,Ken Read,CA,36
1980-01-12,Danilo Sbardellotto,IT,0
1980-01-12,Andy Mill,US,0
1980-01-12,Mikio Katagiri,JP,0
1980-01-12,Steve Podborski,CA,0
1980-01-12,Erwin Josi,CH,0
1980-01-12,Leonhard Stock,AT,0
1980-01-12,Helmut Hoeflehner,AT,3
1980-01-12,Josef Walcher,AT,29
1980-01-12,Toni Buergler,CH,8
1980-01-12,Arnt Erik Dale,NO,3
1980-01-12,Rune Saefvenberg,SE,6
1980-01-12,Karl Anderson,US,7
1980-01-12,Tim Gilhooly,CA,8
1980-01-12,Dave Murray,CA,13
1980-01-12,Walter Vesti,CH,17
